tick_rec,pc,dpc,pc_req_,dpc_req,m_inst,inst_grp,cname,br_taken
5829917000,331464,0,331492,28,429667,4,beq,0
5829917000,331460,4,331492,32,4275539875,2,sb,0
5829917000,331456,4,331492,36,4294314003,0,addi,0
5829917000,331452,4,331492,40,4294297219,1,lbu,0
5829917000,331484,32,331492,8,4261810403,4,bne,0
5829917000,331480,4,331492,12,1509267,0,addi,0
